"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-24","2020","02","24","","-0.3","","-11.0","","-5.7","","23.7","","0.0","","","","","","0.2","","","","25","","33",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-25","2020","02","25","","1.4","","-7.2","","-2.9","","20.9","","0.0","","","","","","0.0","","","","19","","52",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-26","2020","02","26","","5.7","","-1.4","","2.2","","15.8","","0.0","","","","","","0.4","","","","19","","48",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-27","2020","02","27","","5.1","","1.6","","3.4","","14.6","","0.0","","","","","","1.0","","","","18","","55",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-28","2020","02","28","","2.3","","-2.1","","0.1","","17.9","","0.0","","","","","","4.7","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-29","2020","02","29","","1.8","","-9.0","","-3.6","","21.6","","0.0","","","","","","9.0","","","","28","","35",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-03-01","2020","03","01","","-1.1","","-10.6","","-5.9","","23.9","","0.0","","","","","","0.2","","","","19","","65",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-03-02","2020","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-03-03","2020","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-03-04","2020","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-03-05","2020","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-03-06","2020","03","06","","","","","","","","","","","","","","","","","","","","","","",""
