year,month,day,open,high,low,close,adj-close,volume
2021,09,03,7.46,7.74,7.33,7.39,7.39,5841500
2021,09,07,7.34,7.55,7.13,7.16,7.16,4135100
2021,09,08,7.11,7.16,6.83,6.89,6.89,5370900
2021,09,09,6.87,7.01,6.83,6.91,6.91,4079600
2021,09,10,6.98,7.00,6.62,6.63,6.63,4310700
2021,09,13,6.67,6.73,6.46,6.63,6.63,5296600
2021,09,14,6.62,6.70,6.40,6.50,6.50,4081100
2021,09,15,6.48,6.71,6.43,6.68,6.68,3412000
2021,09,16,6.64,6.74,6.56,6.62,6.62,2144100
2021,09,17,6.63,6.68,6.43,6.63,6.63,3191300
2021,09,20,6.41,6.41,6.01,6.13,6.13,6981800
2021,09,21,6.16,6.35,5.99,6.03,6.03,9683300
2021,09,22,6.01,6.11,5.85,6.01,6.01,8517800
2021,09,23,6.12,6.22,6.08,6.15,6.15,5399300
2021,09,24,6.07,6.10,5.92,5.95,5.95,5322300
2021,09,27,6.01,6.50,5.89,6.38,6.38,11547700
2021,09,28,6.29,6.99,6.25,6.81,6.81,13804600
2021,09,29,6.75,6.84,6.48,6.74,6.74,6806600
2021,09,30,6.63,6.98,6.61,6.92,6.92,5328000
2021,10,01,6.88,7.12,6.82,7.08,7.08,4481100
2021,10,04,7.02,7.09,6.92,7.04,7.04,4141300
2021,10,05,7.00,7.45,6.98,7.30,7.30,5011000
2021,10,06,7.18,7.40,7.18,7.35,7.35,3260100
2021,10,07,7.42,7.50,7.23,7.38,7.38,3162800
2021,10,08,7.37,7.60,7.17,7.21,7.21,3932200
2021,10,11,7.17,7.22,7.01,7.01,7.01,1903700
2021,10,12,7.09,7.17,6.97,7.02,7.02,2073800
2021,10,13,7.09,7.17,7.00,7.11,7.11,1730900
2021,10,14,7.17,7.44,7.14,7.26,7.26,3378300
2021,10,15,7.28,7.29,7.01,7.03,7.03,2765300
2021,10,18,7.01,7.03,6.87,6.92,6.92,3212700
2021,10,19,6.95,7.45,6.91,7.45,7.45,5392400
2021,10,20,7.40,7.80,7.30,7.66,7.66,7013500
2021,10,21,7.60,7.88,7.37,7.37,7.37,5693300
2021,10,22,7.33,7.39,7.04,7.07,7.07,3465700
2021,10,25,7.07,7.24,7.03,7.18,7.18,2620400
2021,10,26,7.21,7.27,6.88,7.03,7.03,5378800
2021,10,27,7.01,7.10,6.79,6.84,6.84,3129400
2021,10,28,6.85,7.00,6.81,6.88,6.88,2371800
2021,10,29,6.89,7.00,6.63,6.63,6.63,2863000
2021,11,01,6.70,7.08,6.56,6.99,6.99,3819900
2021,11,02,6.98,6.98,6.78,6.90,6.90,2454900
2021,11,03,6.88,7.16,6.81,6.94,6.94,4095900
2021,11,04,7.01,7.07,6.78,6.85,6.85,3208900
2021,11,05,6.83,6.84,6.43,6.66,6.66,6723900
2021,11,08,6.62,7.33,6.62,7.30,7.30,11837300
2021,11,09,7.22,7.59,6.94,7.48,7.48,7869700
2021,11,10,7.05,7.50,6.98,7.10,7.10,6218500
2021,11,11,7.12,7.66,7.09,7.57,7.57,6070700
2021,11,12,7.75,8.58,7.73,8.50,8.50,19251400
2021,11,15,8.61,8.69,8.07,8.11,8.11,14281800
2021,11,16,8.06,8.47,7.78,8.32,8.32,7032200
2021,11,17,8.21,8.40,7.84,7.89,7.89,6631100
2021,11,18,7.86,7.94,6.98,7.01,7.01,9810000
2021,11,19,7.29,7.39,6.98,7.04,7.04,5401800
2021,11,22,7.05,7.07,6.59,6.70,6.70,6519900
2021,11,23,6.72,6.88,6.52,6.63,6.63,4861700
2021,11,24,6.63,6.94,6.48,6.78,6.78,4687500
2021,11,26,6.50,6.80,6.49,6.79,6.79,3386100
2021,11,29,6.82,6.84,6.39,6.44,6.44,6041200
2021,11,30,6.41,6.63,6.10,6.42,6.42,4554000
2021,12,01,6.51,6.54,5.97,6.01,6.01,5549000
2021,12,02,6.00,6.25,5.90,6.14,6.14,7263500
2021,12,03,6.11,6.16,5.73,5.82,5.82,5840200
2021,12,06,5.77,6.09,5.55,5.97,5.97,5358700
2021,12,07,6.11,6.49,6.00,6.38,6.38,4829000
2021,12,08,6.38,6.74,6.22,6.57,6.57,3954400
2021,12,09,6.53,6.67,6.22,6.28,6.28,3042900
2021,12,10,6.29,6.48,6.06,6.12,6.12,2997100
2021,12,13,6.13,6.13,5.86,5.99,5.99,3199300
2021,12,14,5.89,6.09,5.83,5.87,5.87,3528800
2021,12,15,5.85,5.87,5.42,5.78,5.78,6450500
2021,12,16,5.86,5.96,5.63,5.72,5.72,4319900
2021,12,17,5.63,5.95,5.54,5.85,5.85,4024100
2021,12,20,5.70,5.79,5.53,5.66,5.66,3678200
2021,12,21,5.68,6.04,5.67,5.95,5.95,4298400
2021,12,22,5.91,6.01,5.75,5.93,5.93,2991900
2021,12,23,5.91,6.19,5.86,6.12,6.12,4050200
2021,12,27,6.07,6.10,5.88,5.94,5.94,3964200
2021,12,28,5.88,6.05,5.71,5.73,5.73,3673500
2021,12,29,5.70,5.85,5.42,5.45,5.45,8242700
2021,12,30,5.45,5.72,5.43,5.50,5.50,6141000
2021,12,31,5.52,5.69,5.39,5.41,5.41,4716800
2022,01,03,5.51,5.97,5.45,5.75,5.75,5207000
2022,01,04,5.75,5.83,5.54,5.77,5.77,4137000
2022,01,05,5.75,5.87,5.43,5.45,5.45,4337400
2022,01,06,5.47,5.59,5.22,5.37,5.37,4924300
2022,01,07,5.39,5.70,5.39,5.51,5.51,5851900
2022,01,10,5.59,5.83,5.41,5.76,5.76,9293000
2022,01,11,5.66,6.05,5.63,5.89,5.89,6060200
2022,01,12,5.95,6.03,5.74,5.76,5.76,5084800
2022,01,13,5.76,5.80,5.53,5.54,5.54,4056400
2022,01,14,5.50,5.58,5.38,5.51,5.51,5808000
2022,01,18,5.50,5.50,5.11,5.11,5.11,7419400
2022,01,19,5.15,5.20,4.85,4.86,4.86,7596600
2022,01,20,4.91,5.11,4.74,4.75,4.75,6937800
2022,01,21,4.70,4.74,4.41,4.46,4.46,6445600
2022,01,24,4.37,4.38,3.96,4.32,4.32,16513600
2022,01,25,4.24,4.33,4.05,4.21,4.21,5364400
2022,01,26,4.33,4.37,4.00,4.06,4.06,7823800
2022,01,27,4.08,4.09,3.77,3.79,3.79,7487400
2022,01,28,3.78,3.94,3.71,3.91,3.91,6932500
